Song Name , Artists , Album , Image_Info , Times Played
Like Him (feat. Lola Young) ," Tyler, The Creator, Lola Young ", CHROMAKOPIA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c', 'width': 640} ",3
Open Arms (feat. Travis Scott) ," SZA, Travis Scott ", SOS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640} ",3
Power is Power (feat. The Weeknd & Travis Scott) ," SZA, The Weeknd, Travis Scott, Game of Thrones ", For The Throne (Music Inspired by the HBO Series Game of Thrones)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d4024fdf2c5056be8a08d09c', 'width': 640} ",3
House Of Balloons / Glass Table Girls , The Weeknd , House Of Balloons (Original)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079', 'width': 640} ",3
FUK SUMN ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 1  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640} ",3
The One That Got Away , Katy Perry , Teenage Dream  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27343219fb4e2c45a0b7df6ef87', 'width': 640} ",3
E.T. , Katy Perry , Teenage Dream  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888', 'width': 640} ",3
Splash.Wave.Repeat (Interlude) , Tory Lanez , Alone at Prom (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640} ",3
scars , Baby Keem , The Melodic Blue  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39', 'width': 640} ",3
Digital Dash ," Drake, Future ", What A Time To Be Alive  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d6adfbd3f091d6f2b9af6507', 'width': 640} ",3
